,Event,Description,Team,Lat,Lon
120,Takeaway,Takeaway by Torey Krug,Boston Bruins,-15.0,47.0
122,Faceoff,Pat Maroon faceoff won against Sean Kuraly,St. Louis Blues,-22.0,20.0
123,Hit,Noel Acciari hit Tyler Bozak,Boston Bruins,-40.0,-54.0
124,Giveaway,Giveaway by Joel Edmundson,St. Louis Blues,36.0,-76.0
125,Giveaway,Giveaway by Noel Acciari,Boston Bruins,-38.0,-64.0
126,Giveaway,Giveaway by Joel Edmundson,St. Louis Blues,0.0,-96.0
127,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,-12.0,57.0
128,Goal,"Vladimir Tarasenko (11) Wrist Shot, assists: Alex Pietrangelo (12), Brayden Schenn (7)",St. Louis Blues,5.0,65.0
129,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
130,Blocked Shot,Charlie McAvoy,Boston Bruins,-13.0,72.0
132,Faceoff,David Krejci faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
133,Hit,Alex Pietrangelo hit Jake DeBrusk,St. Louis Blues,-40.0,35.0
134,Hit,David Backes hit Zach Sanford,Boston Bruins,-41.0,51.0
136,Faceoff,Noel Acciari faceoff won against Tyler Bozak,Boston Bruins,22.0,69.0
137,Giveaway,Giveaway by Torey Krug,Boston Bruins,-5.0,97.0
138,Takeaway,Takeaway by John Moore,Boston Bruins,-23.0,61.0
139,Hit,Sammy Blais hit Joakim Nordstrom,St. Louis Blues,39.0,46.0
141,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
142,Giveaway,Giveaway by Alex Pietrangelo,St. Louis Blues,-10.0,-95.0
143,Hit,Zach Sanford hit Charlie McAvoy,St. Louis Blues,39.0,12.0
144,Hit,Alexander Steen hit Patrice Bergeron,St. Louis Blues,39.0,51.0
145,Hit,Ivan Barbashev hit Brandon Carlo,St. Louis Blues,1.0,98.0
146,Hit,Oskar Sundqvist hit Brandon Carlo,St. Louis Blues,38.0,94.0
148,Faceoff,Oskar Sundqvist faceoff won against David Krejci,St. Louis Blues,-22.0,-69.0
153,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,0.0,0.0
155,Faceoff,Brayden Schenn faceoff won against Charlie Coyle,St. Louis Blues,0.0,0.0
156,Hit,Charlie Coyle hit Brayden Schenn,Boston Bruins,-40.0,-65.0
157,Takeaway,Takeaway by Torey Krug,Boston Bruins,-40.0,29.0
158,Hit,Connor Clifton hit Brayden Schenn,Boston Bruins,32.0,-1.0
159,Shot,David Pastrnak Tip-In saved by Jordan Binnington,Boston Bruins,4.0,81.0
161,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,22.0,69.0
162,Shot,Torey Krug Wrist Shot saved by Jordan Binnington,Boston Bruins,25.0,36.0
163,Shot,Brandon Carlo Wrist Shot saved by Jordan Binnington,Boston Bruins,-16.0,38.0
164,Hit,Ivan Barbashev hit John Moore,St. Louis Blues,29.0,13.0
166,Faceoff,David Backes faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
167,Shot,John Moore Wrist Shot saved by Jordan Binnington,Boston Bruins,-8.0,37.0
168,Hit,Zach Sanford hit Charlie McAvoy,St. Louis Blues,-40.0,-86.0
169,Shot,Jake DeBrusk Backhand saved by Jordan Binnington,Boston Bruins,-31.0,63.0
171,Faceoff,Charlie Coyle faceoff won against Brayden Schenn,Boston Bruins,-22.0,69.0
172,Giveaway,Giveaway by Zdeno Chara,Boston Bruins,8.0,-85.0
173,Blocked Shot,Zdeno Chara,Boston Bruins,11.0,-70.0
175,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,22.0,-20.0
176,Giveaway,Giveaway by Brandon Carlo,Boston Bruins,-13.0,-96.0
177,Hit,Pat Maroon hit Brandon Carlo,St. Louis Blues,-11.0,-97.0
178,Missed Shot,Vince Dunn - Hit Crossbar,St. Louis Blues,-28.0,-62.0
180,Faceoff,Noel Acciari faceoff won against Tyler Bozak,Boston Bruins,-22.0,-69.0
181,Takeaway,Takeaway by Alex Pietrangelo,St. Louis Blues,10.0,75.0
182,Missed Shot,Pat Maroon - Wide of Net,St. Louis Blues,-31.0,-70.0
183,Hit,Charlie McAvoy hit Pat Maroon,Boston Bruins,-18.0,-97.0
184,Takeaway,Takeaway by Sean Kuraly,Boston Bruins,40.0,-54.0
185,Blocked Shot,John Moore,Boston Bruins,-12.0,-55.0
186,Hit,Brad Marchand hit Colton Parayko,Boston Bruins,41.0,-48.0
187,Hit,Brad Marchand hit Ivan Barbashev,Boston Bruins,23.0,14.0
188,Missed Shot,Connor Clifton - Wide of Net,Boston Bruins,-35.0,67.0
189,Shot,Zach Sanford Backhand saved by Tuukka Rask,St. Louis Blues,23.0,-14.0
190,Penalty,Charlie Coyle Hi-sticking against Carl Gunnarsson,Boston Bruins,35.0,43.0
191,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,-69.0
192,Blocked Shot,Charlie McAvoy,Boston Bruins,4.0,-79.0
193,Giveaway,Giveaway by Brayden Schenn,St. Louis Blues,-36.0,-51.0
194,Blocked Shot,Brandon Carlo,Boston Bruins,-13.0,-68.0
195,Takeaway,Takeaway by Brandon Carlo,Boston Bruins,-2.0,-94.0
196,Hit,Connor Clifton hit Oskar Sundqvist,Boston Bruins,-39.0,-78.0
197,Giveaway,Giveaway by Alexander Steen,St. Louis Blues,-15.0,-51.0
199,Faceoff,Ivan Barbashev faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
200,Shot,Vince Dunn Wrist Shot saved by Tuukka Rask,St. Louis Blues,-34.0,-77.0
202,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,-22.0,-69.0
203,Blocked Shot,Brad Marchand,Boston Bruins,19.0,-50.0
204,Hit,Brad Marchand hit Colton Parayko,Boston Bruins,28.0,98.0
205,Penalty,Colton Parayko Delaying Game - Puck over glass,St. Louis Blues,37.0,73.0
206,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
207,Shot,Ryan O'Reilly Slap Shot saved by Tuukka Rask,St. Louis Blues,-27.0,-61.0
208,Shot,Ryan O'Reilly Backhand saved by Tuukka Rask,St. Louis Blues,0.0,-78.0
209,Blocked Shot,Jay Bouwmeester,St. Louis Blues,12.0,72.0
210,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,20.0,58.0
211,Blocked Shot,Alexander Steen,St. Louis Blues,3.0,62.0
212,Takeaway,Takeaway by Jay Bouwmeester,St. Louis Blues,-8.0,67.0
213,Shot,Jay Bouwmeester Wrist Shot saved by Tuukka Rask,St. Louis Blues,-20.0,7.0
214,Takeaway,Takeaway by Marcus Johansson,Boston Bruins,-36.0,47.0
215,Shot,Charlie McAvoy Wrist Shot saved by Jordan Binnington,Boston Bruins,-18.0,73.0
216,Missed Shot,Jaden Schwartz - Over Net,St. Louis Blues,-2.0,-65.0
217,Hit,Connor Clifton hit Brayden Schenn,Boston Bruins,38.0,-71.0
218,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,-1.0,-66.0
219,Shot,Vince Dunn Wrist Shot saved by Tuukka Rask,St. Louis Blues,-21.0,-59.0
220,Shot,David Perron Wrist Shot saved by Tuukka Rask,St. Louis Blues,-21.0,-52.0
221,Hit,Tyler Bozak hit Noel Acciari,St. Louis Blues,39.0,-83.0
222,Hit,David Backes hit Sammy Blais,Boston Bruins,3.0,-22.0
223,Shot,Pat Maroon Backhand saved by Tuukka Rask,St. Louis Blues,-9.0,-81.0
224,Hit,David Krejci hit Brayden Schenn,Boston Bruins,40.0,-61.0
225,Hit,Brayden Schenn hit Brandon Carlo,St. Louis Blues,-41.0,-72.0
226,Hit,Vladimir Tarasenko hit David Krejci,St. Louis Blues,0.0,-96.0
227,Takeaway,Takeaway by Jaden Schwartz,St. Louis Blues,-22.0,-57.0
228,Hit,Brayden Schenn hit Brandon Carlo,St. Louis Blues,-42.0,-49.0
229,Penalty,Connor Clifton Illegal check to head against Vladimir Tarasenko,Boston Bruins,30.0,-69.0
231,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
232,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-28.0,-64.0
234,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,-69.0
235,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,10.0,65.0
236,Goal,"Brandon Carlo (1) Wrist Shot, assists: Patrice Bergeron (8), Brad Marchand (13)",Boston Bruins,-15.0,76.0
237,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
238,Hit,Charlie McAvoy hit Jaden Schwartz,Boston Bruins,-40.0,-76.0
240,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,22.0,69.0
241,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,-31.0,-71.0
243,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,-69.0
244,Takeaway,Takeaway by Pat Maroon,St. Louis Blues,-24.0,-92.0
245,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,25.0,-59.0
247,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
248,Blocked Shot,Brandon Carlo,Boston Bruins,-10.0,-69.0
250,Faceoff,Marcus Johansson faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
251,Giveaway,Giveaway by Colton Parayko,St. Louis Blues,28.0,-37.0
252,Shot,John Moore Wrist Shot saved by Jordan Binnington,Boston Bruins,33.0,71.0
253,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,31.0,69.0
254,Takeaway,Takeaway by Zach Sanford,St. Louis Blues,-20.0,-14.0
255,Hit,Brandon Carlo hit Zach Sanford,Boston Bruins,-40.0,-34.0
256,Hit,Zach Sanford hit Charlie McAvoy,St. Louis Blues,-15.0,-97.0
257,Blocked Shot,Colton Parayko,St. Louis Blues,8.0,69.0
259,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,22.0,69.0
260,Missed Shot,Jaden Schwartz - Wide of Net,St. Louis Blues,-18.0,-85.0
261,Blocked Shot,David Backes,Boston Bruins,-2.0,-57.0
262,Hit,Noel Acciari hit Jaden Schwartz,Boston Bruins,-40.0,-32.0
264,Faceoff,Tyler Bozak faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
265,Shot,Patrice Bergeron Tip-In saved by Jordan Binnington,Boston Bruins,1.0,72.0
270,Faceoff,Patrice Bergeron faceoff won against Ivan Barbashev,Boston Bruins,0.0,0.0
271,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-26.0,-86.0
272,Hit,Colton Parayko hit David Pastrnak,St. Louis Blues,40.0,-78.0
274,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,22.0,69.0
275,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,29.0,58.0
276,Missed Shot,Sean Kuraly - Wide of Net,Boston Bruins,-33.0,-71.0
277,Takeaway,Takeaway by Marcus Johansson,Boston Bruins,-14.0,-28.0
278,Penalty,Danton Heinen Tripping against Jaden Schwartz,Boston Bruins,-20.0,6.0
279,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,22.0,69.0
281,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,22.0,69.0
282,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,0.0,59.0
283,Missed Shot,Vince Dunn - Wide of Net,St. Louis Blues,29.0,75.0
284,Missed Shot,Vince Dunn - Wide of Net,St. Louis Blues,-1.0,40.0
285,Shot,Ryan O'Reilly Tip-In saved by Tuukka Rask,St. Louis Blues,-3.0,77.0
286,Shot,Joakim Nordstrom Wrist Shot saved by Jordan Binnington,Boston Bruins,27.0,-43.0
287,Takeaway,Takeaway by Alex Pietrangelo,St. Louis Blues,15.0,-67.0
288,Shot,Alex Pietrangelo Slap Shot saved by Tuukka Rask,St. Louis Blues,29.0,65.0
289,Shot,Brayden Schenn Wrist Shot saved by Tuukka Rask,St. Louis Blues,1.0,77.0
291,Faceoff,Noel Acciari faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
292,Blocked Shot,Joakim Nordstrom,Boston Bruins,-21.0,53.0
293,Hit,Brayden Schenn hit Torey Krug,St. Louis Blues,-36.0,96.0
294,Hit,Ivan Barbashev hit Noel Acciari,St. Louis Blues,-41.0,-16.0
295,Hit,Charlie McAvoy hit Ivan Barbashev,Boston Bruins,31.0,92.0
296,Hit,Ivan Barbashev hit Jake DeBrusk,St. Louis Blues,-41.0,22.0
297,Hit,Ivan Barbashev hit Charlie McAvoy,St. Louis Blues,40.0,79.0
298,Hit,Pat Maroon hit David Krejci,St. Louis Blues,40.0,12.0
299,Blocked Shot,Carl Gunnarsson,St. Louis Blues,8.0,-75.0
300,Hit,David Backes hit Oskar Sundqvist,Boston Bruins,-14.0,-72.0
301,Hit,Brad Marchand hit Colton Parayko,Boston Bruins,40.0,-55.0
302,Missed Shot,Charlie Coyle - Wide of Net,Boston Bruins,-7.0,-81.0
303,Penalty,Jay Bouwmeester Hi-sticking against Charlie Coyle,St. Louis Blues,-29.0,-92.0
305,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
306,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,13.0,-71.0
307,Missed Shot,Torey Krug - Wide of Net,Boston Bruins,-14.0,-44.0
308,Takeaway,Takeaway by Alex Pietrangelo,St. Louis Blues,-10.0,-96.0
309,Hit,Oskar Sundqvist hit David Krejci,St. Louis Blues,-28.0,-48.0
310,Takeaway,Takeaway by Brayden Schenn,St. Louis Blues,29.0,-20.0
311,Hit,Connor Clifton hit Vladimir Tarasenko,Boston Bruins,-35.0,76.0
312,Hit,Brayden Schenn hit Connor Clifton,St. Louis Blues,-30.0,91.0
313,Blocked Shot,Connor Clifton,Boston Bruins,-12.0,58.0
314,Hit,Jaden Schwartz hit Noel Acciari,St. Louis Blues,33.0,96.0
315,Hit,Noel Acciari hit Brayden Schenn,Boston Bruins,39.0,35.0
316,Hit,Charlie McAvoy hit Jaden Schwartz,Boston Bruins,40.0,84.0
317,Shot,Vince Dunn Wrist Shot saved by Tuukka Rask,St. Louis Blues,-7.0,48.0
319,Faceoff,Patrice Bergeron faceoff won against Oskar Sundqvist,Boston Bruins,-22.0,69.0
320,Missed Shot,Brandon Carlo - Over Net,Boston Bruins,30.0,-61.0
321,Hit,David Perron hit Brandon Carlo,St. Louis Blues,35.0,95.0
322,Shot,Alex Pietrangelo Slap Shot saved by Tuukka Rask,St. Louis Blues,-31.0,50.0
323,Goal,"Ryan O'Reilly (5) Tip-In, assists: Alex Pietrangelo (13), Carl Gunnarsson (2)",St. Louis Blues,4.0,74.0
324,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,0.0,0.0
326,Faceoff,David Krejci faceoff won against Tyler Bozak,Boston Bruins,-22.0,-69.0
327,Takeaway,Takeaway by Pat Maroon,St. Louis Blues,-25.0,-32.0
328,Shot,Pat Maroon Wrist Shot saved by Tuukka Rask,St. Louis Blues,-24.0,76.0
330,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
331,Hit,Joakim Nordstrom hit Alex Pietrangelo,Boston Bruins,-41.0,51.0
332,Shot,Vladimir Tarasenko Wrist Shot saved by Tuukka Rask,St. Louis Blues,-24.0,40.0
333,Hit,Charlie McAvoy hit Ivan Barbashev,Boston Bruins,33.0,64.0
335,Faceoff,Oskar Sundqvist faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,69.0
336,Hit,David Pastrnak hit Ivan Barbashev,Boston Bruins,41.0,-72.0
337,Blocked Shot,Ivan Barbashev,St. Louis Blues,-6.0,-53.0
338,Hit,Vladimir Tarasenko hit David Pastrnak,St. Louis Blues,-40.0,35.0
339,Shot,Jake DeBrusk Wrist Shot saved by Jordan Binnington,Boston Bruins,0.0,-59.0
341,Faceoff,Tyler Bozak faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
342,Hit,Alexander Steen hit Torey Krug,St. Louis Blues,16.0,98.0
343,Hit,David Krejci hit Brayden Schenn,Boston Bruins,-40.0,-3.0
344,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,-10.0,41.0
346,Faceoff,Tyler Bozak faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
347,Hit,Joakim Nordstrom hit Colton Parayko,Boston Bruins,-40.0,54.0
348,Shot,Ivan Barbashev Wrist Shot saved by Tuukka Rask,St. Louis Blues,31.0,75.0
350,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
351,Missed Shot,Colton Parayko - Over Net,St. Louis Blues,-10.0,35.0
352,Hit,Sean Kuraly hit Brayden Schenn,Boston Bruins,40.0,-23.0
353,Takeaway,Takeaway by Brayden Schenn,St. Louis Blues,-17.0,-6.0
354,Goal,"Brayden Schenn (4) Wrist Shot, assists: none",St. Louis Blues,-29.0,4.0
355,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
356,Takeaway,Takeaway by Oskar Sundqvist,St. Louis Blues,25.0,20.0
357,Blocked Shot,Torey Krug,Boston Bruins,11.0,75.0
358,Blocked Shot,Ryan O'Reilly,St. Louis Blues,8.0,-67.0
359,Penalty,Torey Krug Slashing against Jay Bouwmeester,Boston Bruins,-15.0,-68.0
360,Penalty,Jay Bouwmeester Elbowing against Torey Krug,St. Louis Blues,-17.0,-69.0
361,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,0.0,0.0
362,Missed Shot,David Pastrnak - Wide of Net,Boston Bruins,35.0,-63.0
363,Blocked Shot,Alexander Steen,St. Louis Blues,1.0,-53.0
,Event,Description,Team,Lat,Lon
3,Faceoff,Brayden Schenn faceoff won against Patrice Bergeron,St. Louis Blues,0.0,0.0
4,Hit,Zdeno Chara hit Brayden Schenn,Boston Bruins,37.0,-36.0
5,Hit,Brad Marchand hit Jay Bouwmeester,Boston Bruins,-37.0,15.0
7,Faceoff,Oskar Sundqvist faceoff won against Charlie Coyle,St. Louis Blues,22.0,-20.0
8,Hit,Oskar Sundqvist hit John Moore,St. Louis Blues,33.0,-90.0
9,Shot,Marcus Johansson Wrap-around saved by Jordan Binnington,Boston Bruins,-7.0,88.0
10,Shot,Danton Heinen Deflected saved by Jordan Binnington,Boston Bruins,-2.0,84.0
12,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,69.0
13,Blocked Shot,Ryan O'Reilly,St. Louis Blues,-1.0,53.0
15,Faceoff,Tyler Bozak faceoff won against Noel Acciari,St. Louis Blues,-22.0,-69.0
16,Shot,Vince Dunn Slap Shot saved by Tuukka Rask,St. Louis Blues,-19.0,-35.0
17,Takeaway,Takeaway by Torey Krug,Boston Bruins,-4.0,-97.0
18,Hit,Noel Acciari hit Pat Maroon,Boston Bruins,36.0,35.0
19,Hit,Brandon Carlo hit Alexander Steen,Boston Bruins,-5.0,-95.0
20,Shot,Ivan Barbashev Wrist Shot saved by Tuukka Rask,St. Louis Blues,21.0,-57.0
21,Hit,Ivan Barbashev hit Brad Marchand,St. Louis Blues,-38.0,-61.0
22,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-11.0,45.0
23,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,-16.0,54.0
24,Missed Shot,Sean Kuraly - Wide of Net,Boston Bruins,22.0,79.0
25,Hit,Zdeno Chara hit Jaden Schwartz,Boston Bruins,35.0,49.0
26,Hit,Noel Acciari hit Alex Pietrangelo,Boston Bruins,20.0,-5.0
28,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,0.0,0.0
30,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,-22.0,69.0
31,Hit,Danton Heinen hit David Perron,Boston Bruins,38.0,52.0
32,Hit,Zach Sanford hit Brandon Carlo,St. Louis Blues,38.0,-70.0
33,Hit,Zach Sanford hit Charlie Coyle,St. Louis Blues,36.0,-79.0
34,Blocked Shot,Brandon Carlo,Boston Bruins,6.0,-74.0
35,Hit,Connor Clifton hit Sammy Blais,Boston Bruins,-36.0,-42.0
36,Shot,Connor Clifton Wrist Shot saved by Jordan Binnington,Boston Bruins,-31.0,39.0
37,Hit,Jay Bouwmeester hit Connor Clifton,St. Louis Blues,-31.0,42.0
38,Shot,Jake DeBrusk Deflected saved by Jordan Binnington,Boston Bruins,5.0,69.0
40,Faceoff,Oskar Sundqvist faceoff won against Marcus Johansson,St. Louis Blues,22.0,69.0
41,Hit,Charlie Coyle hit Carl Gunnarsson,Boston Bruins,-15.0,94.0
42,Shot,Marcus Johansson Wrist Shot saved by Jordan Binnington,Boston Bruins,-10.0,62.0
43,Hit,Noel Acciari hit Vince Dunn,Boston Bruins,-32.0,-64.0
44,Shot,Sean Kuraly Wrist Shot saved by Jordan Binnington,Boston Bruins,14.0,74.0
45,Blocked Shot,Vince Dunn,St. Louis Blues,0.0,76.0
46,Shot,Joakim Nordstrom Slap Shot saved by Jordan Binnington,Boston Bruins,28.0,17.0
49,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,-22.0,69.0
50,Blocked Shot,Ryan O'Reilly,St. Louis Blues,2.0,56.0
52,Faceoff,Patrice Bergeron faceoff won against Alexander Steen,Boston Bruins,-22.0,69.0
53,Shot,Brad Marchand Snap Shot saved by Jordan Binnington,Boston Bruins,19.0,80.0
54,Hit,Robert Bortuzzo hit Brad Marchand,St. Louis Blues,7.0,95.0
55,Hit,Alex Pietrangelo hit David Pastrnak,St. Louis Blues,-34.0,58.0
56,Shot,Charlie Coyle Snap Shot saved by Jordan Binnington,Boston Bruins,5.0,66.0
57,Blocked Shot,Alex Pietrangelo,St. Louis Blues,1.0,59.0
58,Hit,Marcus Johansson hit Brayden Schenn,Boston Bruins,-38.0,-75.0
59,Hit,Brayden Schenn hit Charlie McAvoy,St. Louis Blues,36.0,-60.0
60,Hit,David Krejci hit Brayden Schenn,Boston Bruins,39.0,-71.0
61,Blocked Shot,Steven Kampfer,Boston Bruins,-12.0,-72.0
62,Hit,Joakim Nordstrom hit Vince Dunn,Boston Bruins,-18.0,92.0
63,Hit,Noel Acciari hit Zach Sanford,Boston Bruins,-33.0,-82.0
64,Blocked Shot,Brandon Carlo,Boston Bruins,6.0,-73.0
65,Hit,Pat Maroon hit Patrice Bergeron,St. Louis Blues,35.0,-70.0
66,Blocked Shot,Jay Bouwmeester,St. Louis Blues,-13.0,51.0
67,Blocked Shot,John Moore,Boston Bruins,-13.0,-71.0
68,Shot,Tyler Bozak Wrist Shot saved by Tuukka Rask,St. Louis Blues,4.0,-83.0
70,Faceoff,Sean Kuraly faceoff won against Brayden Schenn,Boston Bruins,22.0,-69.0
71,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,38.0,-77.0
72,Giveaway,Giveaway by Brayden Schenn,St. Louis Blues,25.0,-95.0
73,Hit,Vladimir Tarasenko hit Zdeno Chara,St. Louis Blues,-35.0,-31.0
75,Faceoff,Oskar Sundqvist faceoff won against Patrice Bergeron,St. Louis Blues,22.0,69.0
76,Giveaway,Giveaway by Oskar Sundqvist,St. Louis Blues,-11.0,35.0
77,Hit,Torey Krug hit Alexander Steen,Boston Bruins,-5.0,-94.0
78,Blocked Shot,Connor Clifton,Boston Bruins,10.0,-64.0
79,Shot,David Pastrnak Wrist Shot saved by Jordan Binnington,Boston Bruins,-1.0,61.0
80,Shot,Brandon Carlo Wrist Shot saved by Jordan Binnington,Boston Bruins,25.0,66.0
81,Hit,David Perron hit Brandon Carlo,St. Louis Blues,21.0,-91.0
82,Hit,Vince Dunn hit Sean Kuraly,St. Louis Blues,-36.0,49.0
83,Hit,Noel Acciari hit Robert Bortuzzo,Boston Bruins,-23.0,96.0
84,Blocked Shot,Robert Bortuzzo,St. Louis Blues,12.0,69.0
85,Hit,Sammy Blais hit Steven Kampfer,St. Louis Blues,8.0,-94.0
86,Hit,Brayden Schenn hit Joakim Nordstrom,St. Louis Blues,-37.0,6.0
87,Shot,Jay Bouwmeester Wrist Shot saved by Tuukka Rask,St. Louis Blues,-1.0,-55.0
88,Blocked Shot,Zdeno Chara,Boston Bruins,4.0,-69.0
90,Faceoff,Ryan O'Reilly faceoff won against David Krejci,St. Louis Blues,-22.0,-69.0
91,Hit,David Pastrnak hit Jay Bouwmeester,Boston Bruins,-28.0,97.0
92,Missed Shot,Brad Marchand - Goalpost,Boston Bruins,-18.0,79.0
93,Shot,Patrice Bergeron Slap Shot saved by Jordan Binnington,Boston Bruins,-2.0,53.0
94,Takeaway,Takeaway by David Pastrnak,Boston Bruins,3.0,55.0
95,Takeaway,Takeaway by Patrice Bergeron,Boston Bruins,11.0,40.0
96,Takeaway,Takeaway by Jay Bouwmeester,St. Louis Blues,7.0,39.0
97,Hit,Jaden Schwartz hit Charlie McAvoy,St. Louis Blues,-37.0,10.0
98,Hit,Ivan Barbashev hit Charlie McAvoy,St. Louis Blues,-37.0,-45.0
99,Shot,Alexander Steen Wrist Shot saved by Tuukka Rask,St. Louis Blues,2.0,-63.0
100,Hit,Noel Acciari hit Alex Pietrangelo,Boston Bruins,38.0,-48.0
101,Hit,Sean Kuraly hit Ivan Barbashev,Boston Bruins,35.0,63.0
102,Hit,Jake DeBrusk hit Colton Parayko,Boston Bruins,25.0,95.0
103,Shot,David Pastrnak Slap Shot saved by Jordan Binnington,Boston Bruins,3.0,57.0
104,Blocked Shot,Colton Parayko,St. Louis Blues,-7.0,62.0
106,Faceoff,Patrice Bergeron faceoff won against Tyler Bozak,Boston Bruins,-22.0,69.0
107,Blocked Shot,Carl Gunnarsson,St. Louis Blues,-10.0,77.0
108,Shot,Patrice Bergeron Wrist Shot saved by Jordan Binnington,Boston Bruins,8.0,58.0
109,Penalty,Brad Marchand Slashing against Jordan Binnington,Boston Bruins,3.0,82.0
110,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
111,Takeaway,Takeaway by Zdeno Chara,Boston Bruins,26.0,-68.0
112,Hit,Noel Acciari hit Vladimir Tarasenko,Boston Bruins,37.0,-48.0
113,Shot,David Perron Snap Shot saved by Tuukka Rask,St. Louis Blues,-17.0,-78.0
114,Takeaway,Takeaway by Sean Kuraly,Boston Bruins,3.0,-7.0
115,Shot,Sean Kuraly Wrist Shot saved by Jordan Binnington,Boston Bruins,-17.0,43.0
117,Faceoff,Brayden Schenn faceoff won against Sean Kuraly,St. Louis Blues,-22.0,69.0
118,Giveaway,Giveaway by Vince Dunn,St. Louis Blues,7.0,-19.0
119,Hit,Danton Heinen hit Vince Dunn,Boston Bruins,4.0,-33.0
120,Hit,Ivan Barbashev hit Zdeno Chara,St. Louis Blues,19.0,-95.0
121,Hit,Brad Marchand hit Alex Pietrangelo,Boston Bruins,19.0,95.0
122,Shot,Alex Pietrangelo Slap Shot saved by Tuukka Rask,St. Louis Blues,36.0,-5.0
124,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,22.0,-69.0
125,Shot,Alex Pietrangelo Wrist Shot saved by Tuukka Rask,St. Louis Blues,38.0,-73.0
